date,district,market,variety,grade,modal_price,arrival_qty_mt,rainfall_mm,temp_max_c,year,msp,month,day_of_year,week,log_arrival,log_rainfall,rained_today,variety_group,price_lag1,price_lag3,arrival_lag1,arrival_lag3,state_price_lag1,state_arrival_lag1,price_roll3_mean,arrival_roll3_mean,is_sharbati,days_since_season_start,price_above_msp,target_price_t1,target_price_t3,day_of_week,is_monday,days_since_last_trade,price_roll3_std,market_price_premium
2025-11-14,Betul,Betul APMC,Local,FAQ,2555.0,1.52,0.0,24.12,2025,2425,11,318,46,0.924258901523332,0.0,0,Regular Wheat,,,,,,,,,0,258,,2550.0,,4.0,0.0,1.0,,
2026-01-07,Betul,Betul APMC,Local,FAQ,2550.0,1.2,0.0,26.59,2026,2425,1,7,2,0.7884573603642702,0.0,0,Regular Wheat,2555.0,,1.52,,2489.3661971830984,68.48704225352112,,,0,-53,130.0,2400.0,,2.0,0.0,30.0,,61.909999999999854
2026-03-06,Betul,Betul APMC,Local,FAQ,2400.0,43.0,0.0,36.57,2026,2425,3,65,10,3.784189633918261,0.0,0,Regular Wheat,2550.0,,1.2,,2546.2380952380954,75.95587301587302,,,0,5,125.0,2390.0,2446.6666666666665,4.0,0.0,30.0,,-17.539999999999964
2026-03-07,Betul,Betul APMC,Local,FAQ,2390.0,58.98,0.0,36.99,2026,2425,3,66,10,4.094011173320863,0.0,0,Regular Wheat,2400.0,2555.0,43.0,1.52,2239.212121212121,122.18878787878788,2501.6666666666665,15.24,0,6,-25.0,2400.0,2396.6666666666665,5.0,0.0,1.0,88.08140174482536,143.2199999999998
2026-03-09,Betul,Betul APMC,Local,FAQ,2400.0,22.0,0.0,37.62,2026,2425,3,68,11,3.1354942159291497,0.0,0,Regular Wheat,2390.0,2550.0,58.98,1.2,2265.0,98.15035087719298,2446.6666666666665,34.39333333333333,0,8,-35.0,2015.0,2268.3333333333335,0.0,1.0,2.0,89.62886439832488,117.15000000000008
2026-03-10,Betul,Betul APMC,Local,FAQ,2015.0,109.5,0.0,38.15,2026,2425,3,69,11,4.705015520957808,0.0,0,Regular Wheat,2400.0,2400.0,22.0,43.0,2274.3333333333335,174.47875,2396.6666666666665,41.32666666666666,0,9,-25.0,2400.0,2271.6666666666665,1.0,0.0,1.0,5.773502691893219,130.19000000000003
2026-03-11,Betul,Betul APMC,Local,FAQ,2400.0,57.0,0.0,37.78,2026,2425,3,70,11,4.060443010546419,0.0,0,Regular Wheat,2015.0,2390.0,109.5,58.98,2259.7014925373132,169.99611940298507,2268.3333333333335,63.49333333333333,0,10,-410.0,2385.0,2266.6666666666665,2.0,0.0,1.0,219.4500702513748,-277.34000000000015
2026-03-12,Betul,Betul APMC,Local,FAQ,2385.0,29.0,0.0,38.69,2026,2425,3,71,11,3.4011973816621555,0.0,0,Regular Wheat,2400.0,2400.0,57.0,22.0,2304.785714285714,187.2694285714286,2271.6666666666665,62.833333333333336,0,11,-25.0,2355.0,2380.0,3.0,0.0,1.0,222.279853638006,88.71000000000004
2026-03-18,Betul,Betul APMC,Local,FAQ,2355.0,59.4,0.0,36.11,2026,2425,3,77,12,4.100989104940769,0.0,0,Regular Wheat,2385.0,2015.0,29.0,109.5,2329.0140845070423,195.96535211267604,2266.6666666666665,65.16666666666667,0,17,-40.0,2285.0,2341.6666666666665,2.0,0.0,6.0,218.07873196011883,47.809999999999945
2026-03-26,Betul,Betul APMC,Local,FAQ,2285.0,100.0,0.0,38.56,2026,2425,3,85,13,4.61512051684126,0.0,0,Regular Wheat,2355.0,2400.0,59.4,57.0,2314.3137254901962,228.4843137254902,2380.0,48.46666666666667,0,25,-70.0,2280.0,2306.6666666666665,3.0,0.0,8.0,22.91287847478031,56.61999999999989
